iter	Passed	Remaining
0	1	127
1	2	110
2	3	116
3	4	108
4	5	108
5	6	106
6	7	103
7	8	99
8	9	95
9	10	91
10	11	90
11	12	89
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	19	81
19	20	80
20	21	80
21	22	79
22	23	78
23	24	78
24	25	77
25	27	77
26	28	76
27	29	75
28	30	74
29	31	74
30	32	73
31	34	72
32	35	71
33	35	69
34	36	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	42	61
41	43	59
42	44	58
43	45	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	89	9
90	90	8
91	91	7
92	92	6
93	92	5
94	93	4
95	94	3
96	94	2
97	95	1
98	96	0
99	96	0
